total_bill,tip,sex,smoker,day,time,size,tips_pct
3.07,1,Female,Yes,Sat,Dinner,1,0.483091787
11.61,3.39,Male,No,Sat,Dinner,2,0.412408759
23.17,6.5,Male,Yes,Sun,Dinner,4,0.389922016
14.31,4,Female,Yes,Sat,Dinner,2,0.387972842
7.51,2,Male,No,Thur,Lunch,2,0.362976407
16.32,4.3,Female,Yes,Fri,Dinner,2,0.357737105
13.42,3.48,Female,Yes,Fri,Lunch,2,0.350100604
10.29,2.6,Female,No,Sun,Dinner,2,0.33810143
23.33,5.65,Male,Yes,Sun,Dinner,2,0.319570136
20.69,5,Male,No,Sun,Dinner,5,0.318674315
16.58,4,Male,Yes,Thur,Lunch,2,0.317965024
16.82,4,Male,Yes,Sun,Dinner,2,0.31201248
24.71,5.85,Male,No,Thur,Lunch,2,0.310180276
28.17,6.5,Female,Yes,Sat,Dinner,3,0.299953853
8.77,2,Male,No,Sun,Dinner,2,0.295420975
16.29,3.71,Male,No,Sun,Dinner,3,0.29491256
17.92,4.08,Male,No,Sat,Dinner,2,0.294797688
22.23,5,Male,No,Sun,Dinner,2,0.290191526
8.58,1.92,Male,Yes,Fri,Lunch,1,0.288288288
11.35,2.5,Female,Yes,Fri,Dinner,2,0.282485876
13.94,3.06,Male,No,Sun,Dinner,2,0.28125
18.28,4,Male,No,Thur,Lunch,2,0.280112045
14.78,3.23,Male,No,Sun,Dinner,2,0.27965368
14,3,Male,No,Sat,Dinner,2,0.272727273
18.71,4,Male,Yes,Thur,Lunch,3,0.271923861
19.81,4.19,Female,Yes,Thur,Lunch,2,0.268245839
13.16,2.75,Female,No,Thur,Lunch,2,0.264169068
16.97,3.5,Female,No,Sun,Dinner,3,0.259836674
18.24,3.76,Male,No,Sat,Dinner,2,0.259668508
18.29,3.76,Male,Yes,Sat,Dinner,4,0.258774948
13.28,2.72,Male,No,Sat,Dinner,2,0.257575758
16.66,3.4,Male,No,Thur,Lunch,2,0.256410256
29.03,5.92,Male,No,Sat,Dinner,3,0.256166162
14.83,3.02,Female,No,Sun,Dinner,2,0.255715495
17.31,3.5,Female,No,Sun,Dinner,2,0.253439537
12.48,2.52,Female,No,Thur,Lunch,2,0.253012048
17.47,3.5,Female,No,Thur,Lunch,2,0.250536865
15.81,3.16,Male,Yes,Sat,Dinner,2,0.249802372
12.54,2.5,Male,No,Sun,Dinner,2,0.249003984
25.89,5.16,Male,Yes,Sat,Dinner,4,0.248914616
15.06,3,Female,No,Sat,Dinner,2,0.248756219
10.09,2,Female,Yes,Fri,Lunch,2,0.247218789
21.7,4.3,Male,No,Sat,Dinner,2,0.247126437
20.49,4.06,Male,Yes,Sat,Dinner,2,0.247108947
25.28,5,Female,Yes,Sat,Dinner,2,0.246548323
11.69,2.31,Male,No,Thur,Lunch,2,0.246268657
12.66,2.5,Male,No,Sun,Dinner,2,0.246062992
50.81,10,Male,Yes,Sat,Dinner,3,0.245037981
16.47,3.23,Female,Yes,Thur,Lunch,3,0.243957704
34.3,6.7,Male,No,Thur,Lunch,6,0.242753623
15.38,3,Female,Yes,Fri,Dinner,2,0.242326333
20.92,4.08,Female,No,Sat,Dinner,2,0.242280285
13.39,2.61,Female,No,Sun,Dinner,2,0.242115028
20.53,4,Male,Yes,Thur,Lunch,4,0.241984271
10.33,2,Female,No,Thur,Lunch,2,0.240096038
10.34,2,Male,Yes,Thur,Lunch,2,0.239808153
15.53,3,Male,Yes,Sat,Dinner,2,0.239425379
